item_title,item_url,reference,year,issue
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 492, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-34,EAP180/3/11/34 Level: File Extent: 3 TIFF images Legal:,1855,492
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 493, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-35,EAP180/3/11/35 Level: File Extent: 3 TIFF images Legal:,1855,493
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 494, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-36,EAP180/3/11/36 Level: File Extent: 3 TIFF images Legal:,1855,494
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 495, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-37,EAP180/3/11/37 Level: File Extent: 3 TIFF images Legal:,1855,495
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 496, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-38,EAP180/3/11/38 Level: File Extent: 3 TIFF images Legal:,1855,496
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 497, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-39,EAP180/3/11/39 Level: File Extent: 3 TIFF images Legal:,1855,497
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 498, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-40,EAP180/3/11/40 Level: File Extent: 3 TIFF images Legal:,1855,498
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 499, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-41,EAP180/3/11/41 Level: File Extent: 3 TIFF images Legal:,1855,499
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 500, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-42,EAP180/3/11/42 Level: File Extent: 3 TIFF images Legal:,1855,500
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 501, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-43,EAP180/3/11/43 Level: File Extent: 3 TIFF images Legal:,1855,501
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 502, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-44,EAP180/3/11/44 Level: File Extent: 3 TIFF images Legal:,1855,502
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 503, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-45,EAP180/3/11/45 Level: File Extent: 3 TIFF images Legal:,1855,503
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 504, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-46,EAP180/3/11/46 Level: File Extent: 3 TIFF images Legal:,1855,504
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 505, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-47,EAP180/3/11/47 Level: File Extent: 3 TIFF images Legal:,1855,505
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 506, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-48,EAP180/3/11/48 Level: File Extent: 3 TIFF images Legal:,1855,506
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 507, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-49,EAP180/3/11/49 Level: File Extent: 3 TIFF images Legal:,1855,507
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 508, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-50,EAP180/3/11/50 Level: File Extent: 3 TIFF images Legal:,1855,508
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 509, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-51,EAP180/3/11/51 Level: File Extent: 3 TIFF images Legal:,1855,509
"""Արշալույս Արարատյան [Arshaluys Araratyan], Issue 510, 1855""",https://eap.bl.uk/archive-file/EAP180-3-11-52,EAP180/3/11/52 Level: File Extent: 3 TIFF images Legal:,1855,510
